age,poverty_ratio,bmi,height_cm,gender_Male,ethnicity_Non-Hispanic Asian,ethnicity_Non-Hispanic Black,ethnicity_Non-Hispanic White,ethnicity_Other Hispanic,ethnicity_Other/Multi-Racial,education_College graduate+,education_High school/GED,education_Some college,marital_status_Living with partner,marital_status_Married,marital_status_Never married,marital_status_Widowed,bmi_category_Obese,bmi_category_Overweight,age_group_45-59,age_group_60-74,age_group_75+
-1.634805082706196,-1.125332170488102,-1.619140803254169,-0.7124494923641423,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.576354577616424,-0.0590238572588,1.2012218407026485,-0.4814584817834104,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1.4834970023641654,1.531085030890159,1.1601485983149271,0.6634534837036876,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0.5196581760696901,-0.295981260198645,-0.8250581170915697,-1.204560775775265,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-1.351323074972527,0.9573986869305344,0.5166678009073046,0.1010405883766915,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
-1.4080194765192606,-0.8384889985082898,-0.0583575925207848,0.2416438122084412,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
-1.634805082706196,-0.370809913758596,-0.8387491978874768,-0.6923633175310364,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
-1.0678410672388574,-0.7636603449483387,-0.920895682662918,-0.7325356671972482,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
-1.181233870332325,0.7391484473806773,-1.468538914499193,0.7036258333699023,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1.653586207004367,1.1008202729204402,-0.6196919051529666,0.4324624731229585,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
0.2361761683360208,0.5832554191307794,1.6119542645798548,-1.3853363492732265,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0.8598365853500931,1.531085030890159,-0.6196919051529666,-1.315034737357353,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0.3495689714294885,-1.1689822183980734,-0.099430834908505,0.2516868996249942,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
0.9732293884435608,-0.2585669334186695,-0.5512365011734321,0.8944444942844195,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0.179479766789287,-0.5142314997485021,0.7904894168254422,-0.2805967334523402,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
0.6330509791631578,0.0282762385611426,-0.003593269337157,1.989141022688753,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0.2361761683360208,-1.0879178437081265,-0.4964721779898048,0.5429364347050466,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
-0.7276626579584544,-1.2126322663080449,-1.1947172985810557,0.9848322810334016,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1.653586207004367,-1.1066250070981145,-0.7702937939079425,1.1153924174485956,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.7276626579584544,1.531085030890159,-0.9072046018670112,0.0106528016277093,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.8598365853500931,-0.963203421108208,-0.2363416428675738,-1.5259395731049763,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0.4629617745229562,-1.0068534690181794,1.4750434566207862,0.2918592492912088,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
-1.237930271879059,1.531085030890159,0.6946518512540936,1.1555647671148102,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
-1.4080194765192606,0.4772481599208488,-1.0167332482342664,0.9044875817009724,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.2740914455845837,1.531085030890159,-1.0167332482342664,0.9044875817009724,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
-1.4080194765192606,-0.0714952995187918,-0.345870289234829,-0.8028372791131245,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0.4629617745229562,-0.2149168855086979,1.5298077798044134,0.9245737565340812,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
-0.3307878471313175,-0.8696676041582694,0.2702283465809806,-1.5661119227711908,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0.3495689714294885,-1.0941535648381224,3.1453553137214247,0.0809544135435856,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
